participant,oracle_years,used_forms,session_date,build_version,build_commit,installer,analysis_revision,recording,task,completed,assisted,time_s,first_evidence_s,exit_q1,exit_q2,exit_q3,believes_graph_proves_execution,notes
P1,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,T1,PENDING,PENDING,PENDING,,,,,,
P1,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,T2,PENDING,PENDING,PENDING,PENDING,,,,,
P1,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,T3,PENDING,PENDING,PENDING,,,,,,
P1,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,T4,PENDING,PENDING,PENDING,,,,,,
P1,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,EXIT,,,,,PENDING,PENDING,PENDING,PENDING,
P2,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,T1,PENDING,PENDING,PENDING,,,,,,
P2,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,T2,PENDING,PENDING,PENDING,PENDING,,,,,
P2,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,T3,PENDING,PENDING,PENDING,,,,,,
P2,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,T4,PENDING,PENDING,PENDING,,,,,,
P2,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,EXIT,,,,,PENDING,PENDING,PENDING,PENDING,
P3,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,T1,PENDING,PENDING,PENDING,,,,,,
P3,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,T2,PENDING,PENDING,PENDING,PENDING,,,,,
P3,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,T3,PENDING,PENDING,PENDING,,,,,,
P3,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,T4,PENDING,PENDING,PENDING,,,,,,
P3,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,EXIT,,,,,PENDING,PENDING,PENDING,PENDING,
P4,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,T1,PENDING,PENDING,PENDING,,,,,,
P4,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,T2,PENDING,PENDING,PENDING,PENDING,,,,,
P4,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,T3,PENDING,PENDING,PENDING,,,,,,
P4,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,T4,PENDING,PENDING,PENDING,,,,,,
P4,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,EXIT,,,,,PENDING,PENDING,PENDING,PENDING,
P5,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,T1,PENDING,PENDING,PENDING,,,,,,
P5,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,T2,PENDING,PENDING,PENDING,PENDING,,,,,
P5,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,T3,PENDING,PENDING,PENDING,,,,,,
P5,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,T4,PENDING,PENDING,PENDING,,,,,,
P5,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,EXIT,,,,,PENDING,PENDING,PENDING,PENDING,
